"bZIP29_1";"bZIP29_2";"bZIP29_3";"WT_1";"WT_2";"WT_3"
"385";13.1911761328413;11.1635081865319;13.6654200632378;NA;15.35560255915;13.2991847159683
"387";106.019989993291;57.4695399019668;214.931238137468;78.3859917715562;NA;330.709764419897
"390";32.6508863783965;NA;28.2124801305555;41.2868682687169;44.8204113658307;31.7562281430727
"394";11.2833614028849;10.0621755403269;8.87937432680429;11.5968316593535;10.8685758373204;7.5850863399059
"396";22.4031958289164;25.4307720123686;23.1115629640934;NA;20.0919085433034;20.0751951796176
"397";43.4981758430056;40.9996107837202;NA;38.1192151765787;43.2250240869579;33.2732454110539
"398";14.3903739630996;NA;18.1365943696428;17.7173817017901;19.1945031989375;22.1990193547913
"400";61.813197250587;51.2119680485296;52.7094773867744;60.937055247066;61.621833646459;60.6301234769812
"402";23.2753397054679;22.8276221213387;22.4818201040364;24.6969563115862;21.487872412317;25.738726313414
"404";13.7907750479705;11.3136899110144;NA;13.6907040422924;13.0123774933057;13.9059916231608
"405";38.4833485528346;39.2975512395853;NA;44.3471432899352;45.0696906281545;33.1721109265218
"406";70.4801270238174;63.1764454323015;76.0099632088849;66.9502272185826;66.8566981552602;85.8126101254688
"410";21.2585069909426;23.4784095940962;23.8672543961619;20.6702786520885;22.5348453140773;24.7779487103593
"412";95.8813174283796;93.8135172267298;105.859774775589;82.2516023246741;NA;113.978564067653
"416";20.7134170680979;19.9241087813439;16.4362886474888;23.4084194605469;NA;17.2434296127194
"417";42.4625049896007;59.3718417454117;NA;37.582324821979;68.8010764013863;50.061569843379
"420";26.8184242039584;22.8776826961662;24.7488944002417;25.4486028080258;26.8723044785125;26.952340127799
"422";26.0007893196913;70.1348653333236;49.4977888004835;30.8175063540228;13.2118009031648;55.3711302813131
"423";36.0304439000335;44.3536692971625;42.3187201958332;36.8843673609994;36.195348889425;38.3299696376578
"424";15.480553808789;20.2745328051364;14.484085781312;13.6370150068324;13.9596386901364;18.00193824671
"425";19.4052012532707;16.9705348665216;19.1441829457341;20.8850347939283;19.8924851334443;21.7439141743969
"429";33.0869583166722;23.1780461451312;23.4264343941219;33.9314704107011;34.4005382006932;25.9915625247442
"431";50.638853832271;55.3669957592119;52.6465031007687;58.5747376868273;NA;60.0738838120547
"432";63.1214130654142;63.226506007129;62.3445431456471;72.1043746227397;71.3437248770897;66.9004615179701
"433";103.948648286481;80.747707196753;NA;102.814502905843;100.060695896799;93.4988309499067
"434";92.6107778913115;74.1897718943509;NA;84.3991637430729;89.2918317644079;103.814548372179
"439";92.665286883596;104.376298515332;111.212589086074;NA;81.8633097471568;112.512114041938
"444";86.9418426937268;76.1921948874507;76.1359117808963;95.2980379414468;99.7615607820102;82.1717686823139
"445";50.6933628245554;68.8833509626361;64.5486431558468;49.8234249068522;48.6094561531534;65.7879821881172
"446";188.819149273398;187.677095028287;190.560189453261;176.475859556921;174.595195331634;193.824239605729
"452";33.9045932009392;NA;37.4067258873883;40.6425998431973;NA;33.6777833491822
"454";10.4112175263334;11.1134476117044;12.7837800591579;9.55664831187466;12.5138189686579;12.5912433242438
"455";11.7194333411607;8.25999484653704;8.94234861280999;11.9189658721133;11.3671343619682;9.30437257695124
"457";33.3049942858101;32.2890707637357;25.2526886882874;44.4008323253952;41.7293485130147;26.8512056432669
"458";55.7081901147265;50.7614228750822;51.4499916666603;68.1850750341619;54.4425908915318;NA
"460";64.375119887957;64.1275963540239;NA;78.6007479133961;68.5019412865977;68.6197477550154
"461";40.6637082442133;31.0375563930483;28.1495058445498;41.9311366942366;38.4388622503397;31.2505557204123
"464";25.7827533505535;19.0730790092764;21.915051529985;28.562566864704;26.2740342489352;25.5870245866159
"466";16.8977876081851;15.5187781965241;NA;16.9657352053505;15.3057467066852;NA
"469";15.2625178396511;NA;9.00532289881569;13.7980821132123;15.9040169362625;11.579898478923
"470";131.74823435156;92.6621240056973;105.670851917572;127.565148252889;127.481414752424;NA
"471";10.0296545803422;12.8155071558393;19.4590543757626;7.73122110623568;7.17924275492727;NA
"473";98.7702940194564;102.473996671887;92.3203032843623;102.760813870383;101.556371470742;99.5669000218315
"474";12.2100142717209;NA;10.9575257649925;13.9591492195922;15.1063232968261;NA
"475";122.4817056632;89.4582472167375;97.5471690228357;127.189325004669;121.199577341862;103.258308707252
"479";58.7061846903723;58.2705090992067;NA;58.0915363676876;56.3869691376579;60.377287265651
"480";18.9146203227105;16.9204742916941;NA;21.9051264676678;21.2884490024579;16.4343537364628
"482";21.6945789292183;21.7763500499613;21.3482829559337;NA;23.8310974781613;20.9854055404063
"483";27.4180231190875;NA;NA;26.2002493044654;30.9604843806238;NA
"485";64.2115929111036;66.6806856702263;76.2618603529077;NA;NA;78.1769565432968
"487";150.444818705132;121.747317980473;127.837800591579;151.349390961655;155.550259690091;115.647283062432
"490";15.8621167547803;13.9168398020442;11.713217197061;15.1403079997115;NA;11.7316002057211
"491";118.993130156994;103.925753341884;105.670851917572;129.605331600368;NA;120.704007289036
"492";18.8056023381415;15.8692022203166;NA;20.4018334747886;18.2472420021068;12.3384071129136
"494";22.0761418752096;28.9350122502934;41.4370801917533;17.4489365244903;16.5022871658398;37.4197592768691
"496";48.2949671640388;44.904335620265;42.570617339856;46.2262595310342;46.1665193823795;NA
"497";41.4813431284803;43.903124123715;NA;54.3333038854897;49.5068614975193;47.9883129104713
"498";29.6528918027507;NA;30.0387344247209;27.2740300136648;21.9365750845;NA
"499";46.9867513492116;49.2596056302572;39.4219030395708;68.3461421405418;68.8509322538511;44.8531438899769
"500";39.0829474679637;44.2535481475075;40.1775944716393;42.1458928360765;37.8405920207625;39.796419663373
"502";38.0472766145588;NA;38.1624173194567;38.9245507084783;40.7820873161841;NA
"505";11.5013973720228;13.2159917544593;47.041791646261;6.55006232611634;8.67491832887045;NA
"506";319.150149825561;NA;308.888872857979;365.085441127796;356.668768532984;305.577845013676
"509";24.3110105588728;22.0266529240988;19.0182343737227;26.898206765445;26.6230252161886;20.2268969064157
"512";21.3675249755115;22.6273798220287;25.5045858323102;18.1468939854699;18.1475302971773;28.3682229112481
"513";106.61958890842;93.5131537777648;88.1010261219801;123.108958309711;119.60419006299;83.7393531925612
"514";16.5162246621939;12.5151437068743;14.1692143512834;NA;16.0535844936568;18.00193824671
"515";20.9859620295203;22.2769557982363;NA;17.2878694181103;16.8014222806284;22.6541245351856
"516";13.0821581482724;20.2244722303089;24.5599715422246;NA;9.42275611584204;22.0978848702592
"517";22.8937767594767;28.3342853523634;27.2678658404699;26.5223835172252;NA;26.9017728855329
"523";21.2585069909426;NA;25.8824315483444;19.703876013809;18.197386149642;25.0307849216895
